,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
0,2020-01-26,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
1,2020-01-27,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
2,2020-01-28,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
3,2020-01-29,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
4,2020-01-30,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
5,2020-01-31,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
6,2020-02-01,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
7,2020-02-02,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
8,2020-02-03,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
9,2020-02-04,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
10,2020-02-05,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
11,2020-02-06,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
12,2020-02-07,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
13,2020-02-08,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
14,2020-02-09,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
15,2020-02-10,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
16,2020-02-11,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
17,2020-02-12,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
18,2020-02-13,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
19,2020-02-14,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
20,2020-02-15,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
21,2020-02-16,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
22,2020-02-17,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
23,2020-02-18,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
24,2020-02-19,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
25,2020-02-20,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
26,2020-02-21,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
27,2020-02-22,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
28,2020-02-23,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
29,2020-02-24,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
30,2020-02-25,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
31,2020-02-26,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
32,2020-02-27,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
33,2020-02-28,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
34,2020-02-29,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
35,2020-03-01,Alameda,California,6001.0,1,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
36,2020-03-02,Alameda,California,6001.0,1,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
37,2020-03-03,Alameda,California,6001.0,2,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
38,2020-03-04,Alameda,California,6001.0,2,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
39,2020-03-05,Santa Clara,California,6085.0,20,0,85,CA,santa clara county,santa_clara_county,1,0,0,0,0,0
40,2020-03-06,Santa Clara,California,6085.0,24,0,85,CA,santa clara county,santa_clara_county,1,0,0,0,0,0
41,2020-03-07,Santa Clara,California,6085.0,32,0,85,CA,santa clara county,santa_clara_county,1,0,0,0,0,0
42,2020-03-08,San Francisco,California,6075.0,11,0,75,CA,san francisco county,san_francisco_county,1,0,0,0,0,0
43,2020-03-09,Alameda,California,6001.0,24,0,1,CA,alameda county,alameda_county,1,0,0,0,0,0
44,2020-03-10,Alameda,California,6001.0,25,0,1,CA,alameda county,alameda_county,1,0,0,0,0,0
45,2020-03-11,San Francisco,California,6075.0,17,0,75,CA,san francisco county,san_francisco_county,1,0,0,0,1,0
46,2020-03-12,Alameda,California,6001.0,29,0,1,CA,alameda county,alameda_county,1,0,0,0,3,0
47,2020-03-13,San Francisco,California,6075.0,26,0,75,CA,san francisco county,san_francisco_county,1,0,0,1,4,0
48,2020-03-14,San Francisco,California,6075.0,31,0,75,CA,san francisco county,san_francisco_county,1,0,0,1,4,0
49,2020-03-15,San Mateo,California,6081.0,32,1,81,CA,san mateo county,san_mateo_county,1,0,0,1,5,0
50,2020-03-16,San Mateo,California,6081.0,42,1,81,CA,san mateo county,san_mateo_county,1,0,1,1,5,2
51,2020-03-17,San Mateo,California,6081.0,64,1,81,CA,san mateo county,san_mateo_county,1,0,1,1,5,2
52,2020-03-18,San Mateo,California,6081.0,80,1,81,CA,san mateo county,san_mateo_county,1,0,1,1,5,2
53,2020-03-19,Los Angeles,California,6037.0,231,2,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
54,2020-03-20,Los Angeles,California,6037.0,292,2,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
55,2020-03-21,Los Angeles,California,6037.0,351,4,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
56,2020-03-22,Los Angeles,California,6037.0,421,5,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
57,2020-03-23,Los Angeles,California,6037.0,536,7,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
58,2020-03-24,Los Angeles,California,6037.0,662,11,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
59,2020-03-25,Los Angeles,California,6037.0,799,13,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
60,2020-03-26,Los Angeles,California,6037.0,1216,21,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
61,2020-03-27,Los Angeles,California,6037.0,1465,27,37,CA,los angeles county,los_angeles_county,1,0,1,1,7,2
62,2020-03-06,Denver,Colorado,8031.0,2,0,31,CO,denver county,denver_county,0,0,0,0,0,0
63,2020-03-07,Denver,Colorado,8031.0,2,0,31,CO,denver county,denver_county,0,0,0,0,0,0
64,2020-03-08,Denver,Colorado,8031.0,2,0,31,CO,denver county,denver_county,0,0,0,0,0,0
65,2020-03-09,Denver,Colorado,8031.0,3,0,31,CO,denver county,denver_county,0,0,0,0,0,0
66,2020-03-10,Denver,Colorado,8031.0,4,0,31,CO,denver county,denver_county,0,0,0,0,0,0
67,2020-03-11,Denver,Colorado,8031.0,6,0,31,CO,denver county,denver_county,0,0,0,1,0,0
68,2020-03-12,Denver,Colorado,8031.0,9,0,31,CO,denver county,denver_county,0,0,0,1,0,0
69,2020-03-13,Denver,Colorado,8031.0,17,0,31,CO,denver county,denver_county,0,0,0,1,0,2
70,2020-03-14,Denver,Colorado,8031.0,23,0,31,CO,denver county,denver_county,0,0,0,1,0,2
71,2020-03-15,Denver,Colorado,8031.0,28,0,31,CO,denver county,denver_county,0,0,0,1,0,2
72,2020-03-16,Denver,Colorado,8031.0,28,0,31,CO,denver county,denver_county,0,0,0,1,0,2
73,2020-03-17,Denver,Colorado,8031.0,41,0,31,CO,denver county,denver_county,0,0,0,1,0,2
74,2020-03-18,Denver,Colorado,8031.0,45,0,31,CO,denver county,denver_county,0,0,0,1,0,2
75,2020-03-19,Denver,Colorado,8031.0,61,0,31,CO,denver county,denver_county,0,0,0,1,0,2
76,2020-03-20,Denver,Colorado,8031.0,79,0,31,CO,denver county,denver_county,0,0,1,1,0,2
77,2020-03-21,Denver,Colorado,8031.0,98,0,31,CO,denver county,denver_county,0,0,1,1,0,2
78,2020-03-22,Denver,Colorado,8031.0,125,0,31,CO,denver county,denver_county,0,0,1,1,0,2
79,2020-03-23,Denver,Colorado,8031.0,148,0,31,CO,denver county,denver_county,0,0,1,1,0,2
80,2020-03-24,Denver,Colorado,8031.0,176,0,31,CO,denver county,denver_county,0,0,1,1,0,2
81,2020-03-25,Denver,Colorado,8031.0,214,3,31,CO,denver county,denver_county,0,0,1,1,0,2
82,2020-03-26,Denver,Colorado,8031.0,262,3,31,CO,denver county,denver_county,0,0,1,1,0,2
83,2020-03-27,Denver,Colorado,8031.0,312,3,31,CO,denver county,denver_county,0,0,1,1,0,2
84,2020-03-07,District of Columbia,District of Columbia,11001.0,1,0,1,DC,washington dc,washington_dc,0,0,0,0,0,0
85,2020-03-08,District of Columbia,District of Columbia,11001.0,1,0,1,DC,washington dc,washington_dc,0,0,0,0,0,0
86,2020-03-09,District of Columbia,District of Columbia,11001.0,4,0,1,DC,washington dc,washington_dc,0,0,0,1,0,0
87,2020-03-10,District of Columbia,District of Columbia,11001.0,4,0,1,DC,washington dc,washington_dc,0,0,0,1,0,0
88,2020-03-11,District of Columbia,District of Columbia,11001.0,10,0,1,DC,washington dc,washington_dc,0,0,0,1,3,0
89,2020-03-12,District of Columbia,District of Columbia,11001.0,10,0,1,DC,washington dc,washington_dc,0,0,0,1,3,0
90,2020-03-13,District of Columbia,District of Columbia,11001.0,10,0,1,DC,washington dc,washington_dc,0,0,0,1,3,0
91,2020-03-14,District of Columbia,District of Columbia,11001.0,16,0,1,DC,washington dc,washington_dc,0,0,0,1,3,0
92,2020-03-15,District of Columbia,District of Columbia,11001.0,17,0,1,DC,washington dc,washington_dc,0,0,0,1,3,0
93,2020-03-16,District of Columbia,District of Columbia,11001.0,22,0,1,DC,washington dc,washington_dc,0,0,0,1,5,0
94,2020-03-17,District of Columbia,District of Columbia,11001.0,31,0,1,DC,washington dc,washington_dc,0,0,1,1,5,0
95,2020-03-18,District of Columbia,District of Columbia,11001.0,36,0,1,DC,washington dc,washington_dc,0,0,1,1,5,0
96,2020-03-19,District of Columbia,District of Columbia,11001.0,68,0,1,DC,washington dc,washington_dc,0,0,1,1,5,0
97,2020-03-20,District of Columbia,District of Columbia,11001.0,77,1,1,DC,washington dc,washington_dc,0,0,1,1,5,0
98,2020-03-21,District of Columbia,District of Columbia,11001.0,98,1,1,DC,washington dc,washington_dc,0,0,1,1,5,0
99,2020-03-22,District of Columbia,District of Columbia,11001.0,116,2,1,DC,washington dc,washington_dc,0,0,1,1,5,0
