,county,state_name,start_date
0,Alameda,California,2020-03-09
1,Bergen,New Jersey,2020-03-10
2,Clark,Nevada,2020-03-15
3,Contra Costa,California,2020-03-09
4,Cook,Illinois,2020-03-16
5,Dallas,Texas,2020-03-12
6,Denver,Colorado,2020-03-11
7,District of Columbia,District of Columbia,2020-03-09
8,DuPage,Illinois,2020-03-16
9,Fulton,Georgia,2020-03-13
10,Hudson,New Jersey,2020-03-11
11,Johnson,Kansas,2020-03-16
12,King,Washington,2020-03-02
13,Lake,Illinois,2020-03-16
14,Los Angeles,California,2020-03-09
15,Miami-Dade,Florida,2020-03-13
16,Middlesex,Massachusetts,2020-03-12
17,Nassau,New York,2020-03-16
18,New York City,New York,2020-03-12
19,Norfolk,Massachusetts,2020-03-03
20,Rockland,New York,2020-03-16
21,San Diego,California,2020-03-09
22,San Francisco,California,2020-03-08
23,San Mateo,California,2020-03-09
24,Santa Clara,California,2020-03-05
25,Snohomish,Washington,2020-03-02
26,Suffolk,Massachusetts,2020-03-11
27,Wayne,Michigan,2020-03-13
28,Westchester,New York,2020-03-13
