,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
0,2020-03-01,Alameda,California,6001.0,1,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
1,2020-03-02,Alameda,California,6001.0,1,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
2,2020-03-03,Alameda,California,6001.0,2,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
3,2020-03-04,Alameda,California,6001.0,2,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
4,2020-03-05,Alameda,California,6001.0,2,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
5,2020-03-06,Alameda,California,6001.0,3,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
6,2020-03-07,Alameda,California,6001.0,3,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
7,2020-03-08,Alameda,California,6001.0,3,0,1,CA,alameda county,alameda_county,0,0,0,0,0,0
8,2020-03-09,Alameda,California,6001.0,24,0,1,CA,alameda county,alameda_county,1,0,0,0,0,0
9,2020-03-10,Alameda,California,6001.0,25,0,1,CA,alameda county,alameda_county,1,0,0,0,0,0
10,2020-03-11,Alameda,California,6001.0,25,0,1,CA,alameda county,alameda_county,1,0,0,0,0,0
11,2020-03-12,Alameda,California,6001.0,29,0,1,CA,alameda county,alameda_county,1,0,0,0,3,0
12,2020-03-13,Alameda,California,6001.0,29,0,1,CA,alameda county,alameda_county,1,0,0,1,3,0
13,2020-03-14,Alameda,California,6001.0,29,0,1,CA,alameda county,alameda_county,1,0,0,1,3,0
14,2020-03-15,Alameda,California,6001.0,37,0,1,CA,alameda county,alameda_county,1,0,0,1,3,0
15,2020-03-16,Alameda,California,6001.0,40,0,1,CA,alameda county,alameda_county,1,0,0,1,3,2
16,2020-03-17,Alameda,California,6001.0,49,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
17,2020-03-18,Alameda,California,6001.0,53,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
18,2020-03-19,Alameda,California,6001.0,57,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
19,2020-03-20,Alameda,California,6001.0,67,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
20,2020-03-21,Alameda,California,6001.0,87,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
21,2020-03-22,Alameda,California,6001.0,127,0,1,CA,alameda county,alameda_county,1,0,1,1,3,2
22,2020-03-23,Alameda,California,6001.0,139,1,1,CA,alameda county,alameda_county,1,0,1,1,3,2
23,2020-03-24,Alameda,California,6001.0,151,2,1,CA,alameda county,alameda_county,1,0,1,1,3,2
24,2020-03-25,Alameda,California,6001.0,156,2,1,CA,alameda county,alameda_county,1,0,1,1,3,2
25,2020-03-26,Alameda,California,6001.0,199,4,1,CA,alameda county,alameda_county,1,0,1,1,3,2
26,2020-03-27,Alameda,California,6001.0,241,4,1,CA,alameda county,alameda_county,1,0,1,1,3,2
27,2020-03-03,Contra Costa,California,6013.0,1,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
28,2020-03-04,Contra Costa,California,6013.0,1,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
29,2020-03-05,Contra Costa,California,6013.0,1,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
30,2020-03-06,Contra Costa,California,6013.0,4,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
31,2020-03-07,Contra Costa,California,6013.0,4,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
32,2020-03-08,Contra Costa,California,6013.0,9,0,13,CA,contra costa county,contra_costa_county,0,0,0,0,0,0
33,2020-03-09,Contra Costa,California,6013.0,9,0,13,CA,contra costa county,contra_costa_county,1,0,0,0,0,0
34,2020-03-10,Contra Costa,California,6013.0,9,0,13,CA,contra costa county,contra_costa_county,1,0,0,0,0,0
35,2020-03-11,Contra Costa,California,6013.0,9,0,13,CA,contra costa county,contra_costa_county,1,0,0,0,0,0
36,2020-03-12,Contra Costa,California,6013.0,9,0,13,CA,contra costa county,contra_costa_county,1,0,0,0,0,0
37,2020-03-13,Contra Costa,California,6013.0,25,0,13,CA,contra costa county,contra_costa_county,1,0,0,1,3,0
38,2020-03-14,Contra Costa,California,6013.0,25,0,13,CA,contra costa county,contra_costa_county,1,0,0,1,3,0
39,2020-03-15,Contra Costa,California,6013.0,25,0,13,CA,contra costa county,contra_costa_county,1,0,0,1,4,0
40,2020-03-16,Contra Costa,California,6013.0,34,0,13,CA,contra costa county,contra_costa_county,1,0,0,1,4,2
41,2020-03-17,Contra Costa,California,6013.0,34,0,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
42,2020-03-18,Contra Costa,California,6013.0,41,0,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
43,2020-03-19,Contra Costa,California,6013.0,42,0,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
44,2020-03-20,Contra Costa,California,6013.0,46,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
45,2020-03-21,Contra Costa,California,6013.0,51,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
46,2020-03-22,Contra Costa,California,6013.0,61,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
47,2020-03-23,Contra Costa,California,6013.0,71,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
48,2020-03-24,Contra Costa,California,6013.0,86,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
49,2020-03-25,Contra Costa,California,6013.0,108,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
50,2020-03-26,Contra Costa,California,6013.0,131,1,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
51,2020-03-27,Contra Costa,California,6013.0,151,2,13,CA,contra costa county,contra_costa_county,1,0,1,1,4,2
52,2020-01-26,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
53,2020-01-27,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
54,2020-01-28,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
55,2020-01-29,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
56,2020-01-30,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
57,2020-01-31,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
58,2020-02-01,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
59,2020-02-02,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
60,2020-02-03,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
61,2020-02-04,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
62,2020-02-05,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
63,2020-02-06,Los Angeles,California,6037.0,1,0,37,CA,los angeles county,los_angeles_county,0,0,0,0,0,0
